Setup,Sensor ID,X/m,Y/m,Z/m
1,1,14.50 ,3.00 ,0.00 
,2,45.50 ,-3.00 ,0.00 
,3,78.50 ,3.00 ,0.00 
,4,7.25 ,3.00 ,0.00 
,5,7.25 ,-3.00 ,0.00 
,6,14.50 ,-3.00 ,0.00 
,7,21.75 ,-3.00 ,0.00 
2,1,14.50 ,3.00 ,0.00 
,2,45.50 ,-3.00 ,0.00 
,3,78.50 ,3.00 ,0.00 
,4,21.75 ,3.00 ,0.00 
,5,37.25 ,3.00 ,0.00 
,6,37.25 ,-3.00 ,0.00 
,7,53.75 ,-3.00 ,0.00 
3,1,14.50 ,3.00 ,0.00 
,2,45.50 ,-3.00 ,0.00 
,3,78.50 ,3.00 ,0.00 
,4,45.50 ,3.00 ,0.00 
,5,53.75 ,3.00 ,0.00 
,6,69.25 ,3.00 ,0.00 
,7,69.25 ,-3.00 ,0.00 
4,1,14.50 ,3.00 ,0.00 
,2,45.50 ,-3.00 ,0.00 
,3,78.50 ,3.00 ,0.00 
,4,83.75 ,3.00 ,0.00 
,5,83.75 ,-3.00 ,0.00 
,6,76.50 ,-3.00 ,0.00 
,7,69.25 ,-3.00 ,0.00 
5,1,14.50 ,3.00 ,0.00 
,2,45.50 ,-3.00 ,0.00 
,3,78.50 ,3.00 ,0.00 
,4,53.75 ,3.00 ,0.00 
,5,83.75 ,-3.00 ,0.00 
,6,37.25 ,3.00 ,0.00 
,7,21.75 ,-3.00 ,0.00 
6,1,14.50 ,3.00 ,0.00 
,2,45.50 ,-3.00 ,0.00 
,3,78.50 ,3.00 ,0.00 
,4,45.50 ,6.00 ,0.00 
,5,45.50 ,0.00 ,0.00 
,6,45.50 ,-6.00 ,0.00 
,7,14.50 ,0.00 ,0.00 
